iter 302: loss 2.1383, time 489.03ms, mfu 0.09%
iter 303: loss 2.0966, time 475.44ms, mfu 0.09%
iter 304: loss 2.1560, time 474.68ms, mfu 0.09%
iter 305: loss 2.0970, time 476.61ms, mfu 0.09%
iter 306: loss 2.1160, time 523.56ms, mfu 0.08%
iter 307: loss 2.1837, time 474.85ms, mfu 0.08%
iter 308: loss 2.1117, time 489.59ms, mfu 0.08%
iter 309: loss 2.0709, time 475.75ms, mfu 0.08%
iter 310: loss 2.1117, time 476.66ms, mfu 0.08%
iter 311: loss 2.1067, time 474.80ms, mfu 0.08%
iter 312: loss 2.0894, time 474.70ms, mfu 0.08%
iter 313: loss 2.0843, time 475.75ms, mfu 0.08%
iter 314: loss 2.1832, time 474.72ms, mfu 0.08%
iter 315: loss 2.1392, time 460.54ms, mfu 0.09%
iter 316: loss 2.0796, time 473.49ms, mfu 0.09%
iter 317: loss 2.0945, time 475.50ms, mfu 0.09%
iter 318: loss 2.0739, time 475.22ms, mfu 0.09%
iter 319: loss 2.0782, time 474.29ms, mfu 0.09%
iter 320: loss 2.1414, time 490.44ms, mfu 0.08%
iter 321: loss 2.1008, time 459.70ms, mfu 0.09%
iter 322: loss 2.1157, time 459.51ms, mfu 0.09%
iter 323: loss 2.1390, time 459.87ms, mfu 0.09%
iter 324: loss 2.1012, time 475.18ms, mfu 0.09%
iter 325: loss 2.0539, time 461.13ms, mfu 0.09%
iter 326: loss 2.0854, time 460.73ms, mfu 0.09%
iter 327: loss 2.0786, time 490.18ms, mfu 0.09%
iter 328: loss 2.0927, time 474.65ms, mfu 0.09%
iter 329: loss 2.0589, time 460.66ms, mfu 0.09%
iter 330: loss 2.0889, time 473.25ms, mfu 0.09%
iter 331: loss 2.0737, time 474.22ms, mfu 0.09%
iter 332: loss 2.0849, time 483.91ms, mfu 0.09%
iter 333: loss 2.0413, time 496.45ms, mfu 0.09%
iter 334: loss 2.0896, time 475.40ms, mfu 0.09%
iter 335: loss 2.0988, time 491.98ms, mfu 0.08%
iter 336: loss 2.0998, time 489.40ms, mfu 0.08%
iter 337: loss 2.0573, time 476.24ms, mfu 0.08%
iter 338: loss 2.0312, time 490.75ms, mfu 0.08%
iter 339: loss 2.0928, time 491.16ms, mfu 0.08%
iter 340: loss 2.0816, time 491.08ms, mfu 0.08%
iter 341: loss 2.1030, time 475.78ms, mfu 0.08%
iter 342: loss 2.0882, time 507.93ms, mfu 0.08%
iter 343: loss 2.1013, time 460.96ms, mfu 0.08%
iter 344: loss 2.1073, time 444.12ms, mfu 0.08%
iter 345: loss 2.0572, time 440.82ms, mfu 0.09%
iter 346: loss 2.0746, time 457.01ms, mfu 0.09%
iter 347: loss 2.0417, time 445.12ms, mfu 0.09%
iter 348: loss 2.0527, time 457.35ms, mfu 0.09%
iter 349: loss 2.0924, time 444.87ms, mfu 0.09%
iter 350: loss 2.0460, time 458.38ms, mfu 0.09%
iter 351: loss 2.0407, time 442.60ms, mfu 0.09%
iter 352: loss 2.0539, time 458.90ms, mfu 0.09%
iter 353: loss 2.0344, time 459.77ms, mfu 0.09%
iter 354: loss 2.0925, time 461.23ms, mfu 0.09%
iter 355: loss 2.0735, time 444.74ms, mfu 0.09%
iter 356: loss 2.0222, time 444.04ms, mfu 0.09%
iter 357: loss 2.0840, time 444.30ms, mfu 0.09%
iter 358: loss 2.0456, time 442.68ms, mfu 0.09%
iter 359: loss 2.0299, time 442.65ms, mfu 0.09%
iter 360: loss 2.0907, time 443.67ms, mfu 0.09%
iter 361: loss 2.0020, time 458.63ms, mfu 0.09%
iter 362: loss 2.0256, time 444.33ms, mfu 0.09%
iter 363: loss 2.0628, time 442.52ms, mfu 0.09%
iter 364: loss 2.0188, time 460.92ms, mfu 0.09%
iter 365: loss 2.0422, time 442.91ms, mfu 0.09%
iter 366: loss 2.0203, time 427.25ms, mfu 0.09%
iter 367: loss 2.0119, time 458.77ms, mfu 0.09%
iter 368: loss 2.0251, time 442.70ms, mfu 0.09%
iter 369: loss 2.0271, time 442.72ms, mfu 0.09%
iter 370: loss 2.0196, time 443.85ms, mfu 0.09%
iter 371: loss 2.0456, time 444.02ms, mfu 0.09%
iter 372: loss 2.0080, time 459.36ms, mfu 0.09%
iter 373: loss 1.9603, time 460.39ms, mfu 0.09%
iter 374: loss 2.0952, time 456.54ms, mfu 0.09%
iter 375: loss 2.0236, time 441.35ms, mfu 0.09%
iter 376: loss 1.9894, time 427.77ms, mfu 0.09%
iter 377: loss 1.9748, time 443.35ms, mfu 0.09%
iter 378: loss 2.0042, time 457.33ms, mfu 0.09%
iter 379: loss 1.9621, time 456.76ms, mfu 0.09%
iter 380: loss 1.9843, time 441.92ms, mfu 0.09%
iter 381: loss 1.9418, time 460.70ms, mfu 0.09%
iter 382: loss 2.0134, time 458.45ms, mfu 0.09%
iter 383: loss 2.0098, time 457.39ms, mfu 0.09%
iter 384: loss 1.9988, time 443.80ms, mfu 0.09%
iter 385: loss 2.0147, time 458.13ms, mfu 0.09%
iter 386: loss 1.9220, time 458.79ms, mfu 0.09%
iter 387: loss 2.0401, time 460.11ms, mfu 0.09%
iter 388: loss 1.9523, time 474.28ms, mfu 0.09%
iter 389: loss 1.9829, time 458.31ms, mfu 0.09%
iter 390: loss 1.9333, time 443.93ms, mfu 0.09%
iter 391: loss 1.9650, time 459.70ms, mfu 0.09%
iter 392: loss 1.9564, time 441.93ms, mfu 0.09%
iter 393: loss 1.9621, time 459.70ms, mfu 0.09%
iter 394: loss 2.0104, time 472.51ms, mfu 0.09%
iter 395: loss 1.9522, time 445.05ms, mfu 0.09%
iter 396: loss 1.9653, time 443.15ms, mfu 0.09%
iter 397: loss 1.9884, time 459.98ms, mfu 0.09%
iter 398: loss 1.9593, time 444.49ms, mfu 0.09%
iter 399: loss 1.9541, time 459.05ms, mfu 0.09%
iter 400: loss 2.0283, time 442.92ms, mfu 0.09%
iter 401: loss 1.9717, time 459.05ms, mfu 0.09%
iter 402: loss 1.9906, time 461.49ms, mfu 0.09%
iter 403: loss 1.9893, time 458.80ms, mfu 0.09%
iter 404: loss 1.9733, time 460.24ms, mfu 0.09%
iter 405: loss 1.9183, time 442.98ms, mfu 0.09%
iter 406: loss 2.0005, time 459.25ms, mfu 0.09%
iter 407: loss 1.9838, time 457.79ms, mfu 0.09%
iter 408: loss 1.9817, time 443.77ms, mfu 0.09%
iter 409: loss 1.9902, time 459.51ms, mfu 0.09%
iter 410: loss 1.9863, time 458.34ms, mfu 0.09%
iter 411: loss 1.9539, time 458.35ms, mfu 0.09%
iter 412: loss 1.9703, time 458.90ms, mfu 0.09%
iter 413: loss 1.9809, time 473.44ms, mfu 0.09%
iter 414: loss 1.9217, time 459.45ms, mfu 0.09%
iter 415: loss 1.9167, time 460.04ms, mfu 0.09%
iter 416: loss 1.9636, time 459.88ms, mfu 0.09%
iter 417: loss 1.9564, time 473.99ms, mfu 0.09%
iter 418: loss 1.9386, time 460.36ms, mfu 0.09%
iter 419: loss 1.9841, time 458.13ms, mfu 0.09%
iter 420: loss 1.9302, time 459.03ms, mfu 0.09%
iter 421: loss 1.8745, time 459.78ms, mfu 0.09%
iter 422: loss 1.8704, time 460.07ms, mfu 0.09%
iter 423: loss 1.9251, time 459.49ms, mfu 0.09%
iter 424: loss 1.9418, time 457.91ms, mfu 0.09%
iter 425: loss 1.9047, time 457.99ms, mfu 0.09%
iter 426: loss 1.9195, time 458.18ms, mfu 0.09%
iter 427: loss 1.9606, time 458.52ms, mfu 0.09%
iter 428: loss 1.9534, time 460.34ms, mfu 0.09%
iter 429: loss 1.9016, time 458.97ms, mfu 0.09%
