iter 335: loss 2.3500, time 270.91ms, mfu 0.01%
iter 336: loss 2.4000, time 222.29ms, mfu 0.01%
iter 337: loss 2.2785, time 235.37ms, mfu 0.01%
iter 338: loss 2.3667, time 241.25ms, mfu 0.01%
iter 339: loss 2.4575, time 255.83ms, mfu 0.01%
iter 340: loss 2.2534, time 252.59ms, mfu 0.01%
iter 341: loss 2.3510, time 221.29ms, mfu 0.01%
iter 342: loss 2.3083, time 190.68ms, mfu 0.01%
iter 343: loss 2.3839, time 270.59ms, mfu 0.01%
iter 344: loss 2.3226, time 253.23ms, mfu 0.01%
iter 345: loss 2.3267, time 263.54ms, mfu 0.01%
iter 346: loss 2.3539, time 242.96ms, mfu 0.01%
iter 347: loss 2.3466, time 252.56ms, mfu 0.01%
iter 348: loss 2.2726, time 222.36ms, mfu 0.01%
iter 349: loss 2.3004, time 254.12ms, mfu 0.01%
iter 350: loss 2.3845, time 238.98ms, mfu 0.01%
iter 351: loss 2.2635, time 253.09ms, mfu 0.01%
iter 352: loss 2.3496, time 281.68ms, mfu 0.01%
iter 353: loss 2.3122, time 269.38ms, mfu 0.01%
iter 354: loss 2.4678, time 238.54ms, mfu 0.01%
iter 355: loss 2.3679, time 269.39ms, mfu 0.01%
iter 356: loss 2.3360, time 253.31ms, mfu 0.01%
iter 357: loss 2.3318, time 258.93ms, mfu 0.01%
iter 358: loss 2.3174, time 265.42ms, mfu 0.01%
iter 359: loss 2.3524, time 223.57ms, mfu 0.01%
iter 360: loss 2.4013, time 255.12ms, mfu 0.01%
iter 361: loss 2.3239, time 254.17ms, mfu 0.01%
iter 362: loss 2.3257, time 239.52ms, mfu 0.01%
iter 363: loss 2.3734, time 239.32ms, mfu 0.01%
iter 364: loss 2.3738, time 269.12ms, mfu 0.01%
iter 365: loss 2.3764, time 253.98ms, mfu 0.01%
iter 366: loss 2.3631, time 255.12ms, mfu 0.01%
iter 367: loss 2.3146, time 397.64ms, mfu 0.01%
iter 368: loss 2.3589, time 254.51ms, mfu 0.01%
iter 369: loss 2.3109, time 254.33ms, mfu 0.01%
iter 370: loss 2.3803, time 254.28ms, mfu 0.01%
iter 371: loss 2.3212, time 252.74ms, mfu 0.01%
iter 372: loss 2.3007, time 252.92ms, mfu 0.01%
iter 373: loss 2.3928, time 287.49ms, mfu 0.00%
iter 374: loss 2.2916, time 222.36ms, mfu 0.01%
iter 375: loss 2.2760, time 252.76ms, mfu 0.01%
iter 376: loss 2.2941, time 258.63ms, mfu 0.01%
iter 377: loss 2.2436, time 266.60ms, mfu 0.01%
iter 378: loss 2.3577, time 223.04ms, mfu 0.01%
iter 379: loss 2.3339, time 253.30ms, mfu 0.01%
iter 380: loss 2.3332, time 280.38ms, mfu 0.01%
iter 381: loss 2.2189, time 184.78ms, mfu 0.01%
iter 382: loss 2.3602, time 180.50ms, mfu 0.01%
iter 383: loss 2.3753, time 132.69ms, mfu 0.01%
iter 384: loss 2.2916, time 259.07ms, mfu 0.01%
iter 385: loss 2.3057, time 255.49ms, mfu 0.01%
iter 386: loss 2.2812, time 254.60ms, mfu 0.01%
iter 387: loss 2.3575, time 255.28ms, mfu 0.01%
iter 388: loss 2.3016, time 255.72ms, mfu 0.01%
iter 389: loss 2.3728, time 255.92ms, mfu 0.01%
iter 390: loss 2.2893, time 254.52ms, mfu 0.01%
iter 391: loss 2.2849, time 222.65ms, mfu 0.01%
iter 392: loss 2.2878, time 251.84ms, mfu 0.01%
iter 393: loss 2.2569, time 257.27ms, mfu 0.01%
iter 394: loss 2.2930, time 286.56ms, mfu 0.01%
iter 395: loss 2.2893, time 239.75ms, mfu 0.01%
iter 396: loss 2.3558, time 254.63ms, mfu 0.01%
iter 397: loss 2.2485, time 257.07ms, mfu 0.01%
iter 398: loss 2.2228, time 232.40ms, mfu 0.01%
iter 399: loss 2.4142, time 127.23ms, mfu 0.01%
iter 400: loss 2.2781, time 238.10ms, mfu 0.01%
iter 401: loss 2.2701, time 208.17ms, mfu 0.01%
iter 402: loss 2.3009, time 211.55ms, mfu 0.01%
iter 403: loss 2.2434, time 129.74ms, mfu 0.01%
iter 404: loss 2.3768, time 189.31ms, mfu 0.01%
iter 405: loss 2.2881, time 222.60ms, mfu 0.01%
iter 406: loss 2.3217, time 261.74ms, mfu 0.01%
iter 407: loss 2.3061, time 248.90ms, mfu 0.01%
iter 408: loss 2.2858, time 255.58ms, mfu 0.01%
iter 409: loss 2.3223, time 195.19ms, mfu 0.01%
iter 410: loss 2.2134, time 205.41ms, mfu 0.01%
iter 411: loss 2.3699, time 252.61ms, mfu 0.01%
iter 412: loss 2.3560, time 236.65ms, mfu 0.01%
iter 413: loss 2.2254, time 253.13ms, mfu 0.01%
iter 414: loss 2.3661, time 237.01ms, mfu 0.01%
iter 415: loss 2.3410, time 252.49ms, mfu 0.01%
iter 416: loss 2.3655, time 251.94ms, mfu 0.01%
iter 417: loss 2.2757, time 252.31ms, mfu 0.01%
iter 418: loss 2.2495, time 222.25ms, mfu 0.01%
iter 419: loss 2.3304, time 252.51ms, mfu 0.01%
iter 420: loss 2.3060, time 252.81ms, mfu 0.01%
iter 421: loss 2.3246, time 252.53ms, mfu 0.01%
iter 422: loss 2.2804, time 221.90ms, mfu 0.01%
iter 423: loss 2.2430, time 252.55ms, mfu 0.01%
iter 424: loss 2.2963, time 236.68ms, mfu 0.01%
iter 425: loss 2.2751, time 251.83ms, mfu 0.01%
iter 426: loss 2.1794, time 237.18ms, mfu 0.01%
iter 427: loss 2.4035, time 266.00ms, mfu 0.01%
iter 428: loss 2.2994, time 236.86ms, mfu 0.01%
iter 429: loss 2.1851, time 252.72ms, mfu 0.01%
